,Node,VRF,Process_ID,Area,Area_Type,Active_Interfaces,Passive_Interfaces
0,as2dist2,default,1,1,NONE,"['GigabitEthernet0/0', 'GigabitEthernet1/0', 'Loopback0']",[]
1,as2border2,default,1,1,NONE,"['GigabitEthernet1/0', 'GigabitEthernet2/0', 'Loopback0']",[]
2,as3core1,default,1,1,NONE,"['GigabitEthernet0/0', 'GigabitEthernet1/0', 'Loopback0']",[]
3,as2core1,default,1,1,NONE,"['GigabitEthernet0/0', 'GigabitEthernet1/0', 'GigabitEthernet2/0', 'GigabitEthernet3/0', 'Loopback0']",[]
4,as1border2,default,1,1,NONE,"['GigabitEthernet1/0', 'Loopback0']",[]
5,as2core2,default,1,1,NONE,"['GigabitEthernet0/0', 'GigabitEthernet1/0', 'GigabitEthernet2/0', 'GigabitEthernet3/0', 'Loopback0']",[]
6,as3border2,default,1,1,NONE,"['GigabitEthernet1/0', 'Loopback0']",[]
7,as2dist1,default,1,1,NONE,"['GigabitEthernet0/0', 'GigabitEthernet1/0', 'Loopback0']",[]
8,as1border1,default,1,1,NONE,['GigabitEthernet0/0'],['Loopback0']
9,as2border1,default,1,1,NONE,"['GigabitEthernet1/0', 'GigabitEthernet2/0', 'Loopback0']",[]
10,as3border1,default,1,1,NONE,"['GigabitEthernet0/0', 'Loopback0']",[]
11,as1core1,default,1,1,NONE,"['GigabitEthernet0/0', 'GigabitEthernet1/0', 'Loopback0']",[]
