,Interface,Remote_Interface
0,host13[eth0],switch2[GigabitEthernet1/0/3]
1,host14[eth0],switch2[GigabitEthernet1/0/4]
2,host22[eth0],switch1[GigabitEthernet1/0/6]
3,switch2[GigabitEthernet1/0/4],host14[eth0]
4,host23[eth0],switch2[GigabitEthernet1/0/7]
5,switch2[GigabitEthernet1/0/8],host24[eth0]
6,switch1[GigabitEthernet1/0/6],host22[eth0]
7,host21[eth0],switch1[GigabitEthernet1/0/5]
8,switch2[GigabitEthernet1/0/7],host23[eth0]
9,host11[eth0],switch1[GigabitEthernet1/0/1]
10,host12[eth0],switch1[GigabitEthernet1/0/2]
11,host24[eth0],switch2[GigabitEthernet1/0/8]
12,switch1[GigabitEthernet1/0/5],host21[eth0]
13,switch2[Port-Channel1],switch1[Port-Channel1]
14,switch1[Port-Channel1],switch2[Port-Channel1]
15,switch2[GigabitEthernet1/0/3],host13[eth0]
16,switch1[GigabitEthernet1/0/1],host11[eth0]
17,switch1[GigabitEthernet1/0/2],host12[eth0]
