,Interface,Remote_Interface
0,as2dist2[GigabitEthernet0/0],as2core2[GigabitEthernet2/0]
1,as2core2[GigabitEthernet2/0],as2dist2[GigabitEthernet0/0]
2,as2dist1[GigabitEthernet1/0],as2core2[GigabitEthernet3/0]
3,as2core1[GigabitEthernet1/0],as2border2[GigabitEthernet2/0]
4,as2dist2[GigabitEthernet1/0],as2core1[GigabitEthernet3/0]
5,as2core2[GigabitEthernet1/0],as2border1[GigabitEthernet2/0]
6,as2dist1[GigabitEthernet0/0],as2core1[GigabitEthernet2/0]
7,as3core1[GigabitEthernet1/0],as3border1[GigabitEthernet0/0]
8,as2core1[GigabitEthernet0/0],as2border1[GigabitEthernet1/0]
9,as2core2[GigabitEthernet0/0],as2border2[GigabitEthernet1/0]
10,as3core1[GigabitEthernet0/0],as3border2[GigabitEthernet1/0]
11,as2border1[GigabitEthernet1/0],as2core1[GigabitEthernet0/0]
12,as2border2[GigabitEthernet1/0],as2core2[GigabitEthernet0/0]
13,as2border1[GigabitEthernet2/0],as2core2[GigabitEthernet1/0]
14,as2core1[GigabitEthernet2/0],as2dist1[GigabitEthernet0/0]
15,as1border1[GigabitEthernet0/0],as1core1[GigabitEthernet1/0]
16,as2core2[GigabitEthernet3/0],as2dist1[GigabitEthernet1/0]
17,as3border2[GigabitEthernet1/0],as3core1[GigabitEthernet0/0]
18,as1border2[GigabitEthernet1/0],as1core1[GigabitEthernet0/0]
19,as1core1[GigabitEthernet0/0],as1border2[GigabitEthernet1/0]
20,as1core1[GigabitEthernet1/0],as1border1[GigabitEthernet0/0]
21,as2border2[GigabitEthernet2/0],as2core1[GigabitEthernet1/0]
22,as2core1[GigabitEthernet3/0],as2dist2[GigabitEthernet1/0]
23,as3border1[GigabitEthernet0/0],as3core1[GigabitEthernet1/0]
