,Node,VRF,Network,Next_Hop,Next_Hop_IP,Next_Hop_Interface,Protocol,Metric,Admin_Distance,Tag
0,as1border1,default,1.0.1.1/32,,AUTO/NONE(-1l),GigabitEthernet0/0,local,0,0,
1,as2dist1,default,2.12.11.0/24,as2core1,2.23.11.2,dynamic,ospf,2,110,
2,as2core1,default,2.12.21.0/24,,AUTO/NONE(-1l),GigabitEthernet1/0,connected,0,0,
3,as2dept1,default,2.128.0.1/32,,AUTO/NONE(-1l),GigabitEthernet2/0,local,0,0,
4,as1border2,default,3.0.1.0/24,as3border2,10.13.22.3,dynamic,bgp,50,20,
5,as2dept1,default,2.34.101.4/32,,AUTO/NONE(-1l),GigabitEthernet0/0,local,0,0,
6,as2core1,default,2.23.22.0/24,as2dist2,2.23.12.3,dynamic,ospf,2,110,
7,as2border1,default,3.0.1.0/24,as3border1,10.23.21.3,dynamic,ibgp,50,200,
8,as2border1,default,3.0.1.0/24,as3border1,10.23.21.3,dynamic,ibgp,50,200,
9,as2border2,default,2.34.201.0/24,as2core1,2.12.21.2,dynamic,ospfE2,20,110,
10,as2dept1,default,1.0.1.0/24,as2dist2,2.34.201.3,dynamic,bgp,50,20,
11,as3border1,default,3.1.1.1/32,,AUTO/NONE(-1l),Loopback0,connected,0,0,
12,as2border1,default,10.12.11.0/24,,AUTO/NONE(-1l),GigabitEthernet0/0,connected,0,0,
13,as2dist1,default,2.23.11.0/24,,AUTO/NONE(-1l),GigabitEthernet0/0,connected,0,0,
14,as2border2,default,2.1.1.1/32,as2core1,2.12.21.2,dynamic,ospf,3,110,
15,as1core1,default,1.10.1.1/32,,AUTO/NONE(-1l),Loopback0,connected,0,0,
16,as1core1,default,10.14.22.0/24,as1border2,1.0.2.1,dynamic,ospfE2,20,110,
17,as2border2,default,2.1.3.2/32,as2core1,2.12.21.2,dynamic,ospf,3,110,
18,as2border1,default,10.23.21.0/24,as2core1,2.12.11.2,dynamic,ospfE2,20,110,
19,as2border2,default,2.1.2.2/32,as2core2,2.12.22.2,dynamic,ospf,2,110,
20,as3border1,default,10.13.22.0/24,as3core1,3.0.1.2,dynamic,ospfE2,20,110,
21,as2border2,default,3.0.1.0/24,as3border1,10.23.21.3,dynamic,bgp,50,20,
22,as2core2,default,2.34.101.0/24,as2dist1,2.23.21.3,dynamic,ospfE2,20,110,
23,as2border1,default,2.12.21.0/24,as2core1,2.12.11.2,dynamic,ospf,2,110,
24,as2border1,default,2.34.101.0/24,as2core1,2.12.11.2,dynamic,ospfE2,20,110,
25,as2dist2,default,2.23.21.0/24,as2core2,2.23.22.2,dynamic,ospf,2,110,
26,as3border1,default,3.0.1.1/32,,AUTO/NONE(-1l),GigabitEthernet0/0,local,0,0,
27,as2core1,default,10.23.21.0/24,as2border2,2.12.21.1,dynamic,ospfE2,20,110,
28,host2,default,2.128.1.0/24,,AUTO/NONE(-1l),eth0,connected,0,0,
29,as2border1,default,2.12.11.0/24,,AUTO/NONE(-1l),GigabitEthernet1/0,connected,0,0,
30,as1border1,default,1.0.2.0/24,as1core1,1.0.1.2,dynamic,ospf,2,110,
31,as2core2,default,2.1.1.2/32,as2border2,2.12.22.1,dynamic,ospf,2,110,
32,as2dist1,default,2.12.21.0/24,as2core1,2.23.11.2,dynamic,ospf,2,110,
33,as2dist1,default,10.23.21.0/24,as2core1,2.23.11.2,dynamic,ospfE2,20,110,
34,as2core2,default,2.34.201.0/24,as2dist2,2.23.22.3,dynamic,ospfE2,20,110,
35,as2dist2,default,2.1.1.2/32,as2core1,2.23.12.2,dynamic,ospf,3,110,
36,as2dist2,default,3.0.2.0/24,as3border1,10.23.21.3,dynamic,ibgp,50,200,
