,AS_Number,IP,Interface,Node,Remote_AS_Number,Remote_IP,Remote_Interface,Remote_Node,Unnamed: 0
0,1,1.2.2.2,,as1border2,1,1.10.1.1,,as1core1,0.0
1,1,1.10.1.1,,as1core1,1,1.1.1.1,,as1border1,1.0
2,2,2.1.3.2,,as2dist2,2,2.1.2.2,,as2core2,2.0
3,3,3.2.2.2,,as3border2,3,3.10.1.1,,as3core1,3.0
4,3,10.23.21.3,,as3border1,2,10.23.21.2,,as2border2,4.0
5,2,2.34.201.3,,as2dist2,65001,2.34.201.4,,as2dept1,5.0
6,3,3.10.1.1,,as3core1,3,3.2.2.2,,as3border2,6.0
7,2,2.1.2.2,,as2core2,2,2.1.3.1,,as2dist1,7.0
8,65001,2.34.101.4,,as2dept1,2,2.34.101.3,,as2dist1,8.0
9,2,2.1.2.1,,as2core1,2,2.1.3.1,,as2dist1,9.0
10,2,2.1.2.1,,as2core1,2,2.1.3.2,,as2dist2,10.0
11,2,2.1.2.2,,as2core2,2,2.1.3.2,,as2dist2,11.0
12,2,2.1.1.2,,as2border2,2,2.1.2.1,,as2core1,12.0
13,1,10.12.11.1,,as1border1,2,10.12.11.2,,as2border1,13.0
14,2,2.1.2.1,,as2core1,2,2.1.1.2,,as2border2,14.0
15,3,3.10.1.1,,as3core1,3,3.1.1.1,,as3border1,15.0
16,2,2.1.1.2,,as2border2,2,2.1.2.2,,as2core2,16.0
17,2,2.1.2.2,,as2core2,2,2.1.1.2,,as2border2,17.0
18,2,2.1.1.1,,as2border1,2,2.1.2.1,,as2core1,18.0
19,2,10.12.11.2,,as2border1,1,10.12.11.1,,as1border1,19.0
20,2,10.23.21.2,,as2border2,3,10.23.21.3,,as3border1,20.0
21,2,2.1.1.1,,as2border1,2,2.1.2.2,,as2core2,21.0
22,1,10.13.22.1,,as1border2,3,10.13.22.3,,as3border2,22.0
23,3,3.1.1.1,,as3border1,3,3.10.1.1,,as3core1,23.0
24,2,2.1.3.1,,as2dist1,2,2.1.2.2,,as2core2,24.0
25,65001,2.34.201.4,,as2dept1,2,2.34.201.3,,as2dist2,25.0
26,2,2.1.3.2,,as2dist2,2,2.1.2.1,,as2core1,26.0
27,2,2.1.3.1,,as2dist1,2,2.1.2.1,,as2core1,27.0
28,3,10.13.22.3,,as3border2,1,10.13.22.1,,as1border2,28.0
29,1,1.1.1.1,,as1border1,1,1.10.1.1,,as1core1,29.0
30,2,2.1.2.2,,as2core2,2,2.1.1.1,,as2border1,30.0
31,2,2.1.2.1,,as2core1,2,2.1.1.1,,as2border1,31.0
32,2,2.34.101.3,,as2dist1,65001,2.34.101.4,,as2dept1,32.0
33,1,1.10.1.1,,as1core1,1,1.2.2.2,,as1border2,33.0
34,1,10.14.22.1,,as1border2,4,10.14.22.4,,as4_10.14.22.4,
35,4,10.14.22.4,,as4_10.14.22.4,1,10.14.22.1,,as1border2,
