,Active,IP,Interface,Mask,Node,Unnamed: 0,VRF,index
0,True,2.1.3.2,Loopback0,32,as2dist2,0.0,default,
1,True,2.1.3.1,Loopback0,32,as2dist1,1.0,default,
2,True,2.34.201.4,GigabitEthernet1/0,24,as2dept1,2.0,default,
3,True,2.1.1.2,Loopback0,32,as2dept1,3.0,default,
4,True,3.0.2.1,GigabitEthernet1/0,24,as3border2,4.0,default,
5,True,90.90.90.1,GigabitEthernet2/0,24,as3core1,5.0,default,
6,True,2.23.11.2,GigabitEthernet2/0,24,as2core1,6.0,default,
7,True,2.23.12.2,GigabitEthernet3/0,24,as2core1,7.0,default,
8,True,10.12.11.1,GigabitEthernet1/0,24,as1border1,8.0,default,
9,True,3.1.1.1,Loopback0,32,as3border1,9.0,default,
10,True,2.12.11.2,GigabitEthernet0/0,24,as2core1,10.0,default,
11,True,3.2.2.2,Loopback0,32,as3border2,11.0,default,
12,True,10.12.11.2,GigabitEthernet0/0,24,as2border1,12.0,default,
13,True,2.12.12.2,GigabitEthernet1/0,24,as2core2,13.0,default,
14,True,10.13.22.1,GigabitEthernet0/0,24,as1border2,14.0,default,
15,True,1.0.1.1,GigabitEthernet0/0,24,as1border1,15.0,default,
16,True,10.23.21.3,GigabitEthernet1/0,24,as3border1,16.0,default,
17,True,2.12.22.1,GigabitEthernet1/0,24,as2border2,17.0,default,
18,True,2.12.21.1,GigabitEthernet2/0,24,as2border2,18.0,default,
19,True,2.12.21.2,GigabitEthernet1/0,24,as2core1,19.0,default,
20,True,1.1.1.1,Loopback0,32,as1border1,20.0,default,
21,True,2.12.22.2,GigabitEthernet0/0,24,as2core2,21.0,default,
22,True,1.0.2.1,GigabitEthernet1/0,24,as1border2,22.0,default,
23,True,2.1.2.2,Loopback0,32,as2core2,23.0,default,
24,True,2.34.101.4,GigabitEthernet0/0,24,as2dept1,24.0,default,
25,True,2.34.101.3,GigabitEthernet2/0,24,as2dist1,25.0,default,
26,True,90.90.90.2,GigabitEthernet3/0,24,as3core1,26.0,default,
27,True,1.2.2.2,Loopback0,32,as1border2,27.0,default,
28,True,1.10.1.1,Loopback0,32,as1core1,28.0,default,
29,True,3.10.1.1,Loopback0,32,as3core1,29.0,default,
30,True,2.1.1.1,Loopback0,32,as2border1,30.0,default,
31,True,3.0.2.2,GigabitEthernet0/0,24,as3core1,31.0,default,
32,True,10.13.22.3,GigabitEthernet0/0,24,as3border2,32.0,default,
33,True,10.14.22.1,GigabitEthernet2/0,24,as1border2,33.0,default,
34,True,3.0.1.1,GigabitEthernet0/0,24,as3border1,34.0,default,
35,True,2.34.201.3,GigabitEthernet2/0,24,as2dist2,35.0,default,
36,True,3.0.1.2,GigabitEthernet1/0,24,as3core1,36.0,default,
37,True,2.1.1.2,Loopback0,32,as2border2,37.0,default,
38,True,2.1.2.1,Loopback0,32,as2core1,38.0,default,
39,True,2.23.22.3,GigabitEthernet0/0,24,as2dist2,39.0,default,
40,True,2.23.21.3,GigabitEthernet1/0,24,as2dist1,40.0,default,
41,True,2.128.1.101,eth0,24,host2,41.0,default,
42,True,2.12.11.1,GigabitEthernet1/0,24,as2border1,42.0,default,
43,True,2.12.12.1,GigabitEthernet2/0,24,as2border1,43.0,default,
44,True,10.23.21.2,GigabitEthernet0/0,24,as2border2,44.0,default,
45,True,1.0.2.2,GigabitEthernet0/0,24,as1core1,45.0,default,
46,True,2.128.0.101,eth0,24,host1,46.0,default,
47,True,1.0.1.2,GigabitEthernet1/0,24,as1core1,47.0,default,
48,True,2.23.22.2,GigabitEthernet2/0,24,as2core2,48.0,default,
49,True,2.128.0.1,GigabitEthernet2/0,24,as2dept1,49.0,default,
50,True,2.128.1.1,GigabitEthernet3/0,24,as2dept1,50.0,default,
51,True,2.23.11.3,GigabitEthernet0/0,24,as2dist1,51.0,default,
52,True,2.23.21.2,GigabitEthernet3/0,24,as2core2,52.0,default,
53,True,2.23.12.3,GigabitEthernet1/0,24,as2dist2,53.0,default,
54,True,10.14.22.4,10.14.22.4,24,as4_10.14.22.4,,default,54.0
