,Node,VRF,Network,Next_Hop_IP,Next_Hop_Interface,Protocol,Metric,Admin_Distance,Tag
0,as1border1,default,1.0.1.0/24,AUTO/NONE(-1l),GigabitEthernet0/0,connected,0,0,
1,as1border1,default,1.0.1.1/32,AUTO/NONE(-1l),GigabitEthernet0/0,local,0,0,
2,as1border1,default,1.0.2.0/24,1.0.1.2,GigabitEthernet0/0,ospf,2,110,
3,as1border1,default,1.1.1.1/32,AUTO/NONE(-1l),Loopback0,connected,0,0,
4,as1border1,default,1.2.2.2/32,1.0.1.2,GigabitEthernet0/0,ospf,3,110,
5,as1border1,default,1.10.1.1/32,1.0.1.2,GigabitEthernet0/0,ospf,2,110,
6,as1border1,default,2.128.0.0/16,10.12.11.2,dynamic,bgp,50,20,
7,as1border1,default,3.0.1.0/24,10.13.22.3,dynamic,ibgp,50,200,
8,as1border1,default,3.0.2.0/24,10.13.22.3,dynamic,ibgp,50,200,
9,as1border1,default,10.12.11.0/24,AUTO/NONE(-1l),GigabitEthernet1/0,connected,0,0,
10,as1border1,default,10.12.11.1/32,AUTO/NONE(-1l),GigabitEthernet1/0,local,0,0,
11,as1border1,default,10.13.22.0/24,1.0.1.2,GigabitEthernet0/0,ospfE2,20,110,
12,as1border1,default,10.14.22.0/24,1.0.1.2,GigabitEthernet0/0,ospfE2,20,110,
13,as1border2,default,1.0.1.0/24,1.0.2.2,GigabitEthernet1/0,ospf,2,110,
14,as1border2,default,1.0.2.0/24,AUTO/NONE(-1l),GigabitEthernet1/0,connected,0,0,
15,as1border2,default,1.0.2.1/32,AUTO/NONE(-1l),GigabitEthernet1/0,local,0,0,
16,as1border2,default,1.1.1.1/32,1.0.2.2,GigabitEthernet1/0,ospf,3,110,
17,as1border2,default,1.2.2.2/32,AUTO/NONE(-1l),Loopback0,connected,0,0,
18,as1border2,default,1.10.1.1/32,1.0.2.2,GigabitEthernet1/0,ospf,2,110,
19,as1border2,default,2.128.0.0/16,10.12.11.2,dynamic,ibgp,50,200,
20,as1border2,default,3.0.1.0/24,10.13.22.3,dynamic,bgp,50,20,
21,as1border2,default,3.0.2.0/24,10.13.22.3,dynamic,bgp,50,20,
22,as1border2,default,10.12.11.0/24,1.0.2.2,GigabitEthernet1/0,ospfE2,20,110,
23,as1border2,default,10.13.22.0/24,AUTO/NONE(-1l),GigabitEthernet0/0,connected,0,0,
24,as1border2,default,10.13.22.1/32,AUTO/NONE(-1l),GigabitEthernet0/0,local,0,0,
25,as1border2,default,10.14.22.0/24,AUTO/NONE(-1l),GigabitEthernet2/0,connected,0,0,
26,as1border2,default,10.14.22.1/32,AUTO/NONE(-1l),GigabitEthernet2/0,local,0,0,
27,as1core1,default,1.0.1.0/24,AUTO/NONE(-1l),GigabitEthernet1/0,connected,0,0,
28,as1core1,default,1.0.1.2/32,AUTO/NONE(-1l),GigabitEthernet1/0,local,0,0,
29,as1core1,default,1.0.2.0/24,AUTO/NONE(-1l),GigabitEthernet0/0,connected,0,0,
30,as1core1,default,1.0.2.2/32,AUTO/NONE(-1l),GigabitEthernet0/0,local,0,0,
31,as1core1,default,1.1.1.1/32,1.0.1.1,GigabitEthernet1/0,ospf,2,110,
32,as1core1,default,1.2.2.2/32,1.0.2.1,GigabitEthernet0/0,ospf,2,110,
33,as1core1,default,1.10.1.1/32,AUTO/NONE(-1l),Loopback0,connected,0,0,
34,as1core1,default,2.128.0.0/16,10.12.11.2,dynamic,ibgp,50,200,
35,as1core1,default,3.0.1.0/24,10.13.22.3,dynamic,ibgp,50,200,
36,as1core1,default,3.0.2.0/24,10.13.22.3,dynamic,ibgp,50,200,
