,IPs,Interface,Remote_IPs,Remote_Interface,Unnamed: 0,index
0,['10.0.0.25'],border01[FastEthernet1/1],['10.0.0.26'],core02[FastEthernet1/0],0.0,
1,['10.0.1.9'],border11[FastEthernet1/1],['10.0.1.10'],border21[FastEthernet1/1],1.0,
2,['10.0.0.42'],border12[FastEthernet0/0],['10.0.0.41'],border11[FastEthernet0/0],2.0,
3,['10.0.0.34'],border11[FastEthernet1/0],['10.0.0.33'],core01[FastEthernet1/1],3.0,
4,['10.0.0.38'],border12[FastEthernet1/0],['10.0.0.37'],core02[FastEthernet1/1],4.0,
5,['10.0.1.10'],border21[FastEthernet1/1],['10.0.1.9'],border11[FastEthernet1/1],5.0,
6,['10.0.0.22'],core01[FastEthernet1/0],['10.0.0.21'],border01[FastEthernet1/0],6.0,
7,['10.0.0.21'],border01[FastEthernet1/0],['10.0.0.22'],core01[FastEthernet1/0],7.0,
8,['10.0.0.41'],border11[FastEthernet0/0],['10.0.0.42'],border12[FastEthernet0/0],8.0,
9,['10.0.0.30'],core02[FastEthernet0/0],['10.0.0.29'],core01[FastEthernet0/0],9.0,
10,['10.0.0.29'],core01[FastEthernet0/0],['10.0.0.30'],core02[FastEthernet0/0],10.0,
11,['10.0.0.37'],core02[FastEthernet1/1],['10.0.0.38'],border12[FastEthernet1/0],11.0,
12,['10.0.0.33'],core01[FastEthernet1/1],['10.0.0.34'],border11[FastEthernet1/0],12.0,
13,['10.0.0.26'],core02[FastEthernet1/0],['10.0.0.25'],border01[FastEthernet1/1],13.0,
14,['10.0.0.18'],border01[FastEthernet0/0],['10.0.0.17'],65533_10.0.0.17[10.0.0.17],,14.0
15,['10.0.0.17'],65533_10.0.0.17[10.0.0.17],['10.0.0.18'],border01[FastEthernet0/0],,15.0
16,['10.0.0.46'],border12[FastEthernet1/1],['10.0.0.45'],65534_10.0.0.45[10.0.0.45],,16.0
17,['10.0.0.45'],65534_10.0.0.45[10.0.0.45],['10.0.0.46'],border12[FastEthernet1/1],,17.0
18,['10.0.1.14'],border21[FastEthernet1/0],['10.0.1.13'],65534_10.0.1.13[10.0.1.13],,18.0
19,['10.0.1.13'],65534_10.0.1.13[10.0.1.13],['10.0.1.14'],border21[FastEthernet1/0],,19.0
