,Node,VRF,Network,Next_Hop_IP,Next_Hop_Interface,Protocol,Metric,Admin_Distance,Tag
0,border01,default,10.0.0.0/16,AUTO/NONE(-1l),null_interface,static,0,1,
1,border01,default,10.0.0.0/24,10.0.0.4,dynamic,ibgp,0,200,
2,border01,default,10.0.0.1/32,AUTO/NONE(-1l),Loopback0,connected,0,0,
3,border01,default,10.0.0.2/32,10.0.0.22,FastEthernet1/0,ospfE2,20,110,
4,border01,default,10.0.0.3/32,10.0.0.26,FastEthernet1/1,ospfE2,20,110,
5,border01,default,10.0.0.4/32,10.0.0.22,FastEthernet1/0,ospfE2,20,110,
6,border01,default,10.0.0.5/32,10.0.0.26,FastEthernet1/1,ospfE2,20,110,
7,border01,default,10.0.0.16/30,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
8,border01,default,10.0.0.18/32,AUTO/NONE(-1l),FastEthernet0/0,local,0,0,
9,border01,default,10.0.0.20/30,AUTO/NONE(-1l),FastEthernet1/0,connected,0,0,
10,border01,default,10.0.0.21/32,AUTO/NONE(-1l),FastEthernet1/0,local,0,0,
11,border01,default,10.0.0.24/30,AUTO/NONE(-1l),FastEthernet1/1,connected,0,0,
12,border01,default,10.0.0.25/32,AUTO/NONE(-1l),FastEthernet1/1,local,0,0,
13,border01,default,10.0.0.28/30,10.0.0.22,FastEthernet1/0,ospfIA,2,110,
14,border01,default,10.0.0.28/30,10.0.0.26,FastEthernet1/1,ospfIA,2,110,
15,border01,default,10.0.0.32/30,10.0.0.22,FastEthernet1/0,ospfIA,2,110,
16,border01,default,10.0.0.36/30,10.0.0.26,FastEthernet1/1,ospfIA,2,110,
17,border01,default,10.0.0.40/30,10.0.0.22,FastEthernet1/0,ospfIA,3,110,
18,border01,default,10.0.0.40/30,10.0.0.26,FastEthernet1/1,ospfIA,3,110,
19,border01,default,10.0.0.44/30,10.0.0.26,FastEthernet1/1,ospfE2,20,110,
20,border01,default,10.0.1.0/24,10.0.1.10,dynamic,ibgp,0,200,
