,Node,IP,Interface,AS_Number,Remote_Node,Remote_IP,Remote_Interface,Remote_AS_Number
0,as1border2,1.2.2.2,,1,as1core1,1.10.1.1,,1
1,as1core1,1.10.1.1,,1,as1border1,1.1.1.1,,1
2,as2dist2,2.1.3.2,,2,as2core2,2.1.2.2,,2
3,as3border1,10.23.21.3,,3,as2border2,10.23.21.2,,2
4,as3border2,3.2.2.2,,3,as3core1,3.10.1.1,,3
5,as2dist2,2.34.201.3,,2,as2dept1,2.34.201.4,,65001
6,as2core2,2.1.2.2,,2,as2dist1,2.1.3.1,,2
7,as3core1,3.10.1.1,,3,as3border2,3.2.2.2,,3
8,as2core1,2.1.2.1,,2,as2dist1,2.1.3.1,,2
9,as2dept1,2.34.101.4,,65001,as2dist1,2.34.101.3,,2
10,as2core1,2.1.2.1,,2,as2dist2,2.1.3.2,,2
11,as2core2,2.1.2.2,,2,as2dist2,2.1.3.2,,2
12,as2border2,2.1.1.2,,2,as2core1,2.1.2.1,,2
13,as1border1,10.12.11.1,,1,as2border1,10.12.11.2,,2
14,as2core1,2.1.2.1,,2,as2border2,2.1.1.2,,2
15,as3core1,3.10.1.1,,3,as3border1,3.1.1.1,,3
16,as2border2,2.1.1.2,,2,as2core2,2.1.2.2,,2
17,as2core2,2.1.2.2,,2,as2border2,2.1.1.2,,2
18,as2border1,2.1.1.1,,2,as2core1,2.1.2.1,,2
19,as2border1,10.12.11.2,,2,as1border1,10.12.11.1,,1
20,as2border2,10.23.21.2,,2,as3border1,10.23.21.3,,3
21,as2border1,2.1.1.1,,2,as2core2,2.1.2.2,,2
22,as1border2,10.13.22.1,,1,as3border2,10.13.22.3,,3
23,as2dist1,2.1.3.1,,2,as2core2,2.1.2.2,,2
24,as3border1,3.1.1.1,,3,as3core1,3.10.1.1,,3
25,as2dept1,2.34.201.4,,65001,as2dist2,2.34.201.3,,2
26,as2dist2,2.1.3.2,,2,as2core1,2.1.2.1,,2
27,as1border1,1.1.1.1,,1,as1core1,1.10.1.1,,1
28,as2dist1,2.1.3.1,,2,as2core1,2.1.2.1,,2
29,as3border2,10.13.22.3,,3,as1border2,10.13.22.1,,1
30,as2core2,2.1.2.2,,2,as2border1,2.1.1.1,,2
31,as2core1,2.1.2.1,,2,as2border1,2.1.1.1,,2
32,as2dist1,2.34.101.3,,2,as2dept1,2.34.101.4,,65001
33,as1core1,1.10.1.1,,1,as1border2,1.2.2.2,,1
