,Node,VRF,Network,Next_Hop,Next_Hop_IP,Protocol,Metric,Admin_Distance,Tag
0,host2,default,2.128.1.0/24,,AUTO/NONE(-1l),connected,0,0,
1,as1border1,default,3.0.1.0/24,as3border2,10.13.22.3,ibgp,50,200,
2,as2border1,default,10.23.21.0/24,as2core1,2.12.11.2,ospfE2,20,110,
3,as2core2,default,2.23.22.0/24,,AUTO/NONE(-1l),connected,0,0,
4,as2dist1,default,10.12.11.0/24,as2core1,2.23.11.2,ospfE2,20,110,
5,as3core1,default,2.128.0.0/16,as2border2,10.23.21.2,ibgp,50,200,
6,as1border1,default,10.12.11.0/24,,AUTO/NONE(-1l),connected,0,0,
7,as1border2,default,10.13.22.0/24,,AUTO/NONE(-1l),connected,0,0,
8,as2border1,default,2.1.2.2/32,as2core2,2.12.12.2,ospf,2,110,
9,as3border2,default,10.13.22.0/24,,AUTO/NONE(-1l),connected,0,0,
10,as1core1,default,10.14.22.0/24,as1border2,1.0.2.1,ospfE2,20,110,
11,as1border2,default,1.2.2.2/32,,AUTO/NONE(-1l),connected,0,0,
12,as2dist2,default,2.128.0.0/24,as2dept1,2.34.201.4,bgp,50,20,
13,as3border1,default,3.10.1.1/32,as3core1,3.0.1.2,ospf,2,110,
14,as2dist1,default,2.1.2.2/32,as2core2,2.23.21.2,ospf,2,110,
15,as3core1,default,3.10.1.1/32,,AUTO/NONE(-1l),connected,0,0,
16,as2border2,default,10.23.21.0/24,,AUTO/NONE(-1l),connected,0,0,
17,as2border2,default,10.12.11.0/24,as2core2,2.12.22.2,ospfE2,20,110,
18,as2core2,default,3.0.1.0/24,as3border1,10.23.21.3,ibgp,50,200,
19,as2dist1,default,2.23.21.0/24,,AUTO/NONE(-1l),connected,0,0,
20,as2core1,default,3.0.1.0/24,as3border1,10.23.21.3,ibgp,50,200,
21,as2border2,default,2.1.1.1/32,as2core1,2.12.21.2,ospf,3,110,
22,as2dist2,default,2.34.201.3/32,,AUTO/NONE(-1l),local,0,0,
23,as2core2,default,2.1.1.2/32,as2border2,2.12.22.1,ospf,2,110,
24,as2dept1,default,1.0.1.0/24,as2dist2,2.34.201.3,bgp,50,20,
25,as2dist1,default,3.0.2.0/24,as3border1,10.23.21.3,ibgp,50,200,
